feature,importance_mean,importance_std
Age,0.09100141524247185,0.00882602897981723
Income,0.0892490120126154,0.010816137086387448
LoanAmount,0.06006843958703996,0.0071007801004195
MonthsEmployed,0.018560067542894233,0.004354522897308879
Education,0.00775823039226633,0.0012236481803704138
HasCoSigner,0.006204197185311788,0.003996403510196494
EmploymentType,0.004467867273754422,0.005251025282029586
NumCreditLines,0.002762256255783813,0.0047173029013661836
HasDependents,0.002328947682488669,0.004192819212966032
LoanTerm,-7.52986875946493e-05,0.0004333318404498671
LoanPurpose,-8.548399317778176e-05,0.00169334241715825
DTIRatio,-0.0003063873324269384,0.002278150721844397
HasMortgage,-0.0004796403978716168,0.0014297431143359607
CreditScore,-0.00426139074956231,0.0028934167203399017
